"Dataset","FileName","Type","Size","CompressionRatio","CompressionTime"
"Linearizovaný TreeRePair","Employee_Ip_Laws.txt","Právní dokumenty",18801,0.909541842231586,0
"Opt. Linearizovaný TreeRePair","Employee_Ip_Laws.txt","Právní dokumenty",18801,0.653634860525895,0
"Opt. TreeRePair bez linearizace","Documentation-arm-OMAP-README","Technická dokumentace",385,0.820779220779221,0
"TreeRePair bez linearizace","Documentation-arm-Atmel-README","Technická dokumentace",5858,1.2439399112325,0
